"gene"	"probe"	"cor"	"p.val"	"p.adj"	"class"	"Trait"	"Tissue"
"HPR"	"cg26549919"	-0.528409993186849	1.03696154536618e-10	1.3016336350406e-08	"gene_body"	"Ancestry"	"Lung"
"PLA2G4C"	"cg26295683"	0.414541845588594	9.42368971842006e-07	4.1031316984867e-05	"gene_body"	"Ancestry"	"Lung"
"PWP2"	"cg21339445"	-0.546223482430906	1.79430504170833e-11	2.78222828820186e-09	"gene_body"	"Ancestry"	"Lung"
"KRT23"	"cg12474695"	0.249318811346674	0.00422930100368638	0.047239141719141	"gene_body"	"Ancestry"	"Lung"
"ARHGAP40"	"cg04845368"	0.360932065970715	2.45806129856703e-05	0.00070428799815464	"gene_body"	"Ancestry"	"Lung"
"WFDC1"	"cg15547140"	0.256427824197357	0.00323065016172615	0.0387090628468643	"gene_body"	"Ancestry"	"Lung"
"LYVE1"	"cg06713769"	-0.253417050154831	0.00362429144818719	0.0422437249752768	"gene_body"	"Ancestry"	"Lung"
"LURAP1"	"cg24542714"	-0.25062141206268	0.00402785222658035	0.0457647347813181	"gene_body"	"Ancestry"	"Lung"
"D2HGDH"	"cg07422888"	0.32141855574412	0.000192405672784376	0.00419158143355053	"gene_body"	"Ancestry"	"Lung"
"ASPG"	"cg05321225"	-0.50483583299154	9.08471695406827e-10	9.97804745455165e-08	"gene_body"	"Ancestry"	"Lung"
"CEP170B"	"cg26999775"	-0.260430433302467	0.00276701336975132	0.0348987906347582	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg18715410"	0.35428373969826	3.54345817187406e-05	0.000962943890830931	"gene_body"	"Ancestry"	"Lung"
"PGAP3"	"cg11817230"	-0.274710785184765	0.00156142859007725	0.022535490314752	"gene_body"	"Ancestry"	"Lung"
"WWOX"	"cg04269327"	0.265453850391259	0.00227046615129135	0.02992474387402	"gene_body"	"Ancestry"	"Lung"
"KDM2B"	"cg04054221"	-0.282071874684853	0.00114863863589859	0.0175084015666541	"gene_body"	"Ancestry"	"Lung"
"ASPG"	"cg05740145"	-0.275939437364696	0.00148428502292411	0.0216164382344087	"gene_body"	"Ancestry"	"Lung"
"MAG"	"cg15005368"	0.548230930880751	1.46287544732037e-11	2.41008729946031e-09	"gene_body"	"Ancestry"	"Lung"
"ACSS2"	"cg09632011"	0.280936252893257	0.00120500922454293	0.0180477517948589	"gene_body"	"Ancestry"	"Lung"
"STYXL1"	"cg03791058"	0.293145722913494	0.000712376078182033	0.0121149893037925	"gene_body"	"Ancestry"	"Lung"
"MYOM2"	"cg02133140"	-0.354033301436924	3.5920443830655e-05	0.000966186632016394	"gene_body"	"Ancestry"	"Lung"
"WFDC1"	"cg07001856"	0.261369295455426	0.00266735805389439	0.0341318244177942	"gene_body"	"Ancestry"	"Lung"
"AQP5"	"cg24060564"	-0.365148708892713	1.94093748010395e-05	0.000574185110656944	"gene_body"	"Ancestry"	"Lung"
"ARHGAP40"	"cg14283044"	0.265319294343863	0.00228263842495176	0.0299354969560838	"gene_body"	"Ancestry"	"Lung"
"DPYSL4"	"cg03950121"	0.330429992302069	0.000123277065539835	0.00285051179616671	"gene_body"	"Ancestry"	"Lung"
"SERPINB9P1"	"cg19771625"	0.406228125564802	1.62335814201039e-06	6.46999875101195e-05	"gene_body"	"Ancestry"	"Lung"
"LRRFIP1"	"cg20319698"	-0.251768088468179	0.00385768722377635	0.0442124500951063	"gene_body"	"Ancestry"	"Lung"
"PRKG2"	"cg09390319"	-0.42349385058264	5.16064458386683e-07	2.47335620419508e-05	"gene_body"	"Ancestry"	"Lung"
"MYOM2"	"cg13386217"	0.258576551971523	0.00297372084545044	0.0364065761372377	"gene_body"	"Ancestry"	"Lung"
"TRPM2"	"cg23312431"	-0.255597334590235	0.00333519380164873	0.0397808636250953	"gene_body"	"Ancestry"	"Lung"
"LINC00954"	"cg24770624"	-0.270796668375924	0.00183213556151543	0.0251536944799722	"gene_body"	"Ancestry"	"Lung"
"TMEM116"	"cg03324638"	-0.270580940038302	0.00184822668326178	0.0252431374978138	"gene_body"	"Ancestry"	"Lung"
"PXK"	"cg22476375"	-0.334140606283754	0.000102214793992926	0.00238440882270224	"gene_body"	"Ancestry"	"Lung"
"FLVCR1-AS1"	"cg18789758"	0.247351030176671	0.00455076845471912	0.0499605934609155	"gene_body"	"Ancestry"	"Lung"
"SLC6A3"	"cg24756227"	0.301236725678181	0.000496356074205277	0.00908607369170216	"gene_body"	"Ancestry"	"Lung"
"CAMK1D"	"cg10598683"	0.353480853048984	3.70144099506352e-05	0.000979145424304561	"gene_body"	"Ancestry"	"Lung"
"CNTN4"	"cg02944123"	-0.269397627750772	0.00193879404313586	0.0260748015189088	"gene_body"	"Ancestry"	"Lung"
"AQP5"	"cg03339560"	-0.305999859522429	0.000399280221930475	0.0076825012044433	"gene_body"	"Ancestry"	"Lung"
"IFITM5"	"cg08437786"	-0.254334704894512	0.00349997568237728	0.0411872138336898	"gene_body"	"Ancestry"	"Lung"
"BEGAIN"	"cg20033940"	-0.355236007374808	3.36428690940868e-05	0.000923777113875132	"gene_body"	"Ancestry"	"Lung"
"MXRA7"	"cg02965407"	0.395846230045084	3.1373823546932e-06	0.000118144855528161	"gene_body"	"Ancestry"	"Lung"
"MYOM2"	"cg00535538"	-0.297220798856949	0.000594629017232224	0.0103121190093694	"gene_body"	"Ancestry"	"Lung"
"LRRFIP1"	"cg23766867"	0.270868135109932	0.00182683299335729	0.0251536944799722	"gene_body"	"Ancestry"	"Lung"
