"chr","start","end","strand","feature","ensembl.id","gene.name","biotype","source"
"chr1",1308566,1311584,"+","gene","ENSG00000169972.11","PUSL1","protein_coding","HAVANA"
"chr1",1311677,1324691,"-","gene","ENSG00000127054.20","INTS11","protein_coding","HAVANA"
"chr1",1324755,1328897,"+","gene","ENSG00000224051.6","CPTP","protein_coding","HAVANA"
"chr1",1331313,1335275,"+","gene","ENSG00000169962.4","TAS1R3","protein_coding","HAVANA"
"chr1",1335306,1349350,"-","gene","ENSG00000107404.19","DVL1","protein_coding","HAVANA"
"chr1",1352688,1361777,"-","gene","ENSG00000162576.16","MXRA8","protein_coding","HAVANA"
"chr1",1373729,1375495,"-","gene","ENSG00000175756.13","AURKAIP1","protein_coding","HAVANA"
"chr1",1386481,1399328,"-","gene","ENSG00000221978.11","CCNL2","protein_coding","HAVANA"
"chr1",1402046,1407313,"-","gene","ENSG00000242485.5","MRPL20","protein_coding","HAVANA"
"chr1",1409095,1410618,"+","gene","ENSG00000272455.1","RP4-758J18.13","lincRNA","HAVANA"
"chr1",1418419,1421769,"-","gene","ENSG00000235098.8","ANKRD65","protein_coding","HAVANA"
"chr1",1426127,1427787,"+","gene","ENSG00000205116.3","TMEM88B","protein_coding","HAVANA"
"chr1",1430538,1434573,"-","gene","ENSG00000225285.1","LINC01770","lincRNA","HAVANA"
"chr1",1434860,1442882,"+","gene","ENSG00000179403.11","VWA1","protein_coding","HAVANA"
"chr1",1449688,1470158,"+","gene","ENSG00000215915.9","ATAD3C","protein_coding","HAVANA"
"chr1",1471768,1496202,"+","gene","ENSG00000160072.19","ATAD3B","protein_coding","HAVANA"
"chr1",1512150,1534687,"+","gene","ENSG00000197785.13","ATAD3A","protein_coding","HAVANA"
"chr1",1535173,1540453,"-","gene","ENSG00000205090.8","TMEM240","protein_coding","HAVANA"
"chr1",1541672,1574869,"-","gene","ENSG00000160075.11","SSU72","protein_coding","HAVANA"
"chr1",1574974,1577075,"+","gene","ENSG00000215014.4","RP5-832C2.5","lincRNA","HAVANA"
"chr1",1598011,1600096,"-","gene","ENSG00000228594.3","FNDC10","protein_coding","HAVANA"
"chr1",1615878,1630610,"+","gene","ENSG00000197530.12","MIB2","protein_coding","HAVANA"
"chr1",1632094,1635226,"+","gene","ENSG00000189409.13","MMP23B","protein_coding","HAVANA"
"chr1",1635263,1659012,"-","gene","ENSG00000248333.8","CDK11B","protein_coding","HAVANA"
"chr1",1659528,1692728,"-","gene","ENSG00000189339.11","SLC35E2B","protein_coding","HAVANA"
"chr1",1702729,1724324,"-","gene","ENSG00000008128.22","CDK11A","protein_coding","HAVANA"
"chr1",1724837,1745992,"-","gene","ENSG00000215790.6","SLC35E2","protein_coding","HAVANA"
"chr1",1751231,1780457,"-","gene","ENSG00000008130.15","NADK","protein_coding","HAVANA"
"chr1",1785284,1891117,"-","gene","ENSG00000078369.17","GNB1","protein_coding","HAVANA"
"chr1",1914826,1917294,"+","gene","ENSG00000169885.9","CALML6","protein_coding","HAVANA"
"chr1",1917589,1919273,"-","gene","ENSG00000178821.12","TMEM52","protein_coding","HAVANA"
"chr1",1921950,2003837,"-","gene","ENSG00000142609.17","CFAP74","protein_coding","HAVANA"
"chr1",2019297,2030758,"+","gene","ENSG00000187730.8","GABRD","protein_coding","HAVANA"
"chr1",2050469,2175313,"+","gene","ENSG00000067606.16","PRKCZ","protein_coding","HAVANA"
"chr1",2184460,2212720,"-","gene","ENSG00000162585.16","FAAP20","protein_coding","HAVANA"
"chr1",2212522,2220738,"+","gene","ENSG00000234396.3","RP11-181G12.4","lincRNA","HAVANA"
"chr1",2228694,2310119,"+","gene","ENSG00000157933.9","SKI","protein_coding","HAVANA"
"chr1",2321252,2391707,"-","gene","ENSG00000116151.13","MORN1","protein_coding","HAVANA"
"chr1",2391774,2403963,"+","gene","ENSG00000157916.19","RER1","protein_coding","HAVANA"
"chr1",2405444,2413797,"-","gene","ENSG00000157911.9","PEX10","protein_coding","HAVANA"
"chr1",2425979,2505526,"+","gene","ENSG00000149527.17","PLCH2","protein_coding","HAVANA"
"chr1",2508532,2526628,"-","gene","ENSG00000157881.13","PANK4","protein_coding","HAVANA"
"chr1",2528744,2530245,"-","gene","ENSG00000197921.5","HES5","protein_coding","HAVANA"
"chr1",2546464,2547460,"+","gene","ENSG00000272449.1","RP3-395M20.12","lincRNA","HAVANA"
"chr1",2556696,2565382,"+","gene","ENSG00000157873.17","TNFRSF14","protein_coding","HAVANA"
"chr1",2581559,2584533,"+","gene","ENSG00000228037.1","RP3-395M20.9","lincRNA","HAVANA"
"chr1",2586490,2591469,"+","gene","ENSG00000157870.14","FAM213B","protein_coding","HAVANA"
"chr1",2591556,2632990,"-","gene","ENSG00000142606.15","MMEL1","protein_coding","HAVANA"
"chr1",2635975,2801717,"-","gene","ENSG00000215912.12","TTC34","protein_coding","HAVANA"
"chr1",2811849,2812692,"-","gene","ENSG00000233234.1","RP11-740P5.2","lincRNA","HAVANA"
"chr1",2814431,2814998,"-","gene","ENSG00000231630.1","RP11-740P5.3","lincRNA","HAVANA"
"chr1",3021482,3022903,"+","gene","ENSG00000169717.6","ACTRT2","protein_coding","HAVANA"
"chr1",3069167,3438621,"+","gene","ENSG00000142611.16","PRDM16","protein_coding","HAVANA"
"chr1",3306635,3310096,"-","gene","ENSG00000272235.1","RP11-22L13.1","lincRNA","HAVANA"
"chr1",3454425,3481113,"+","gene","ENSG00000130762.14","ARHGEF16","protein_coding","HAVANA"
"chr1",3487245,3487627,"+","gene","ENSG00000272088.1","RP11-168F9.2","lincRNA","HAVANA"
"chr1",3489919,3611495,"-","gene","ENSG00000162591.15","MEGF6","protein_coding","HAVANA"
"chr1",3625001,3630127,"+","gene","ENSG00000158109.14","TPRG1L","protein_coding","HAVANA"
"chr1",3630766,3652761,"-","gene","ENSG00000116213.15","WRAP73","protein_coding","HAVANA"
"chr1",3652519,3735600,"+","gene","ENSG00000078900.14","TP73","protein_coding","HAVANA"
"chr1",3752397,3771645,"+","gene","ENSG00000162592.9","CCDC27","protein_coding","HAVANA"
"chr1",3772787,3775982,"+","gene","ENSG00000235169.7","SMIM1","protein_coding","HAVANA"
"chr1",3778557,3796504,"-","gene","ENSG00000130764.9","LRRC47","protein_coding","HAVANA"
"chr1",3812080,3857214,"-","gene","ENSG00000116198.12","CEP104","protein_coding","HAVANA"
"chr1",3857266,3885429,"+","gene","ENSG00000169598.15","DFFB","protein_coding","HAVANA"
"chr1",3889124,3900285,"-","gene","ENSG00000198912.10","C1orf174","protein_coding","HAVANA"
"chr1",3900371,3917225,"+","gene","ENSG00000236423.5","LINC01134","lincRNA","HAVANA"
"chr1",3940564,3955262,"+","gene","ENSG00000233304.6","LINC01346","lincRNA","HAVANA"
"chr1",3944546,3948980,"-","gene","ENSG00000226374.2","LINC01345","lincRNA","HAVANA"
"chr1",4412026,4424689,"+","gene","ENSG00000235054.3","LINC01777","lincRNA","HAVANA"
"chr1",4551734,4552145,"-","gene","ENSG00000227169.2","RP1-37J18.1","lincRNA","HAVANA"
"chr1",4571480,4594009,"+","gene","ENSG00000232596.2","LINC01646","lincRNA","HAVANA"
"chr1",4654731,4792534,"+","gene","ENSG00000196581.10","AJAP1","protein_coding","HAVANA"
"chr1",5086458,5090899,"-","gene","ENSG00000231510.1","RP11-542C10.1","lincRNA","HAVANA"
"chr1",5492977,5494674,"+","gene","ENSG00000260972.1","RP1-58B11.1","lincRNA","HAVANA"
"chr1",5561708,5668295,"-","gene","ENSG00000236948.2","RP11-154H17.1","lincRNA","HAVANA"
"chr1",5862810,5992362,"-","gene","ENSG00000131697.17","NPHP4","protein_coding","HAVANA"
"chr1",5991465,6101193,"+","gene","ENSG00000069424.14","KCNAB2","protein_coding","HAVANA"
"chr1",6101792,6180123,"-","gene","ENSG00000116254.17","CHD5","protein_coding","HAVANA"
"chr1",6181268,6209389,"-","gene","ENSG00000116251.9","RPL22","protein_coding","HAVANA"
"chr1",6206175,6221192,"+","gene","ENSG00000158286.12","RNF207","protein_coding","HAVANA"
"chr1",6221299,6235972,"-","gene","ENSG00000116237.15","ICMT","protein_coding","HAVANA"
"chr1",6236239,6239444,"+","gene","ENSG00000225077.2","LINC00337","lincRNA","HAVANA"
"chr1",6244191,6245578,"+","gene","ENSG00000173673.7","HES3","protein_coding","HAVANA"
"chr1",6247345,6260975,"-","gene","ENSG00000158292.6","GPR153","protein_coding","HAVANA"
"chr1",6264268,6393554,"-","gene","ENSG00000097021.19","ACOT7","protein_coding","HAVANA"
"chr1",6412417,6424670,"-","gene","ENSG00000069812.11","HES2","protein_coding","HAVANA"
"chr1",6424787,6460980,"+","gene","ENSG00000187017.15","ESPN","protein_coding","HAVANA"
"chr1",6461150,6466091,"-","gene","ENSG00000215788.9","TNFRSF25","protein_coding","HAVANA"
"chr1",6466195,6520061,"-","gene","ENSG00000171680.21","PLEKHG5","protein_coding","HAVANA"
"chr1",6521346,6554535,"-","gene","ENSG00000162408.10","NOL9","protein_coding","HAVANA"
"chr1",6555180,6579757,"+","gene","ENSG00000173662.20","TAS1R1","protein_coding","HAVANA"
"chr1",6580000,6589280,"+","gene","ENSG00000204859.12","ZBTB48","protein_coding","HAVANA"
"chr1",6590723,6614607,"-","gene","ENSG00000162413.16","KLHL21","protein_coding","HAVANA"
"chr1",6613684,6624033,"+","gene","ENSG00000116273.5","PHF13","protein_coding","HAVANA"
"chr1",6624865,6634167,"+","gene","ENSG00000041988.15","THAP3","protein_coding","HAVANA"
"chr1",6635586,6701924,"-","gene","ENSG00000007923.15","DNAJC11","protein_coding","HAVANA"
"chr1",6724636,6730012,"+","gene","ENSG00000228750.6","LINC01672","lincRNA","HAVANA"
"chr1",6785323,7769706,"+","gene","ENSG00000171735.18","CAMTA1","protein_coding","HAVANA"
"chr1",7693123,7694844,"-","gene","ENSG00000270171.1","RP11-338N10.1","lincRNA","HAVANA"
"chr1",7698302,7698872,"-","gene","ENSG00000270035.1","RP11-338N10.2","lincRNA","HAVANA"
"chr1",7700703,7700970,"-","gene","ENSG00000269978.1","RP11-338N10.3","lincRNA","HAVANA"
"chr1",7771268,7781432,"+","gene","ENSG00000049245.12","VAMP3","protein_coding","HAVANA"
"chr1",7784319,7845177,"+","gene","ENSG00000049246.14","PER3","protein_coding","HAVANA"
"chr1",7846691,7853512,"-","gene","ENSG00000049247.13","UTS2","protein_coding","HAVANA"
"chr1",7915893,7943165,"-","gene","ENSG00000049249.8","TNFRSF9","protein_coding","HAVANA"
"chr1",7954290,7985505,"+","gene","ENSG00000116288.12","PARK7","protein_coding","HAVANA"
"chr1",8004403,8026308,"-","gene","ENSG00000116285.12","ERRFI1","protein_coding","HAVANA"
"chr1",8026737,8122702,"+","gene","ENSG00000238290.1","RP11-431K24.1","lincRNA","HAVANA"
"chr1",8202428,8215210,"+","gene","ENSG00000227634.2","LINC01714","lincRNA","HAVANA"
"chr1",8218189,8220529,"-","gene","ENSG00000233645.1","RP11-431K24.4","lincRNA","HAVANA"
"chr1",8317825,8344167,"+","gene","ENSG00000162426.14","SLC45A1","protein_coding","HAVANA"
"chr1",8352396,8817643,"-","gene","ENSG00000142599.17","RERE","protein_coding","HAVANA"
"chr1",8805859,8807051,"-","gene","ENSG00000228423.2","RP4-633I8.4","lincRNA","HAVANA"
"chr1",8861001,8879249,"-","gene","ENSG00000074800.13","ENO1","protein_coding","HAVANA"
"chr1",8945866,8975092,"+","gene","ENSG00000131686.14","CA6","protein_coding","HAVANA"
"chr1",9003299,9026345,"-","gene","ENSG00000197241.3","SLC2A7","protein_coding","HAVANA"
"chr1",9035106,9088478,"-","gene","ENSG00000142583.17","SLC2A5","protein_coding","HAVANA"
"chr1",9100304,9129170,"-","gene","ENSG00000180758.11","GPR157","protein_coding","HAVANA"
"chr1",9148010,9196983,"-","gene","ENSG00000228526.6","MIR34AHG","lincRNA","HAVANA"
"chr1",9183750,9196284,"+","gene","ENSG00000234546.3","LINC01759","lincRNA","HAVANA"
"chr1",9197142,9198906,"-","gene","ENSG00000281937.1","RP3-510D11.4","lincRNA","HAVANA"
"chr1",9234774,9271337,"+","gene","ENSG00000049239.12","H6PD","protein_coding","HAVANA"
"chr1",9292879,9369532,"+","gene","ENSG00000171621.13","SPSB1","protein_coding","HAVANA"
"chr1",9501091,9503471,"-","gene","ENSG00000235263.1","RP13-392I16.1","lincRNA","HAVANA"
"chr1",9539481,9585179,"+","gene","ENSG00000171612.6","SLC25A33","protein_coding","HAVANA"
"chr1",9588921,9614873,"+","gene","ENSG00000188807.12","TMEM201","protein_coding","HAVANA"
"chr1",9651731,9729025,"+","gene","ENSG00000171608.15","PIK3CD","protein_coding","HAVANA"
"chr1",9729114,9824526,"-","gene","ENSG00000171603.16","CLSTN1","protein_coding","HAVANA"
"chr1",9848275,9910336,"-","gene","ENSG00000178585.14","CTNNBIP1","protein_coding","HAVANA"
"chr1",9922112,9943407,"-","gene","ENSG00000162441.11","LZIC","protein_coding","HAVANA"
"chr1",9943427,9985501,"+","gene","ENSG00000173614.13","NMNAT1","protein_coding","HAVANA"
"chr1",9997205,10016020,"+","gene","ENSG00000162444.11","RBP7","protein_coding","HAVANA"
"chr1",10032831,10181239,"+","gene","ENSG00000130939.18","UBE4B","protein_coding","HAVANA"
"chr1",10210804,10381603,"+","gene","ENSG00000054523.17","KIF1B","protein_coding","HAVANA"
"chr1",10398591,10420144,"+","gene","ENSG00000142657.20","PGD","protein_coding","HAVANA"
"chr1",10430782,10442809,"+","gene","ENSG00000175279.21","CENPS","protein_coding","HAVANA"
"chr1",10449718,10451902,"+","gene","ENSG00000241563.3","CORT","protein_coding","HAVANA"
"chr1",10456521,10472526,"-","gene","ENSG00000160049.11","DFFA","protein_coding","HAVANA"
"chr1",10474886,10630758,"+","gene","ENSG00000142655.12","PEX14","protein_coding","HAVANA"
"chr1",10636603,10796650,"-","gene","ENSG00000130940.14","CASZ1","protein_coding","HAVANA"
"chr1",10946472,10982037,"-","gene","ENSG00000175262.14","C1orf127","protein_coding","HAVANA"
"chr1",11012343,11026420,"+","gene","ENSG00000120948.16","TARDBP","protein_coding","HAVANA"
"chr1",11026522,11047233,"-","gene","ENSG00000009724.16","MASP2","protein_coding","HAVANA"
"chr1",11054588,11060024,"-","gene","ENSG00000116649.9","SRM","protein_coding","HAVANA"
"chr1",11066617,11098156,"-","gene","ENSG00000171824.13","EXOSC10","protein_coding","HAVANA"
"chr1",11106534,11262507,"-","gene","ENSG00000198793.12","MTOR","protein_coding","HAVANA"
"chr1",11189340,11195981,"+","gene","ENSG00000171819.4","ANGPTL7","protein_coding","HAVANA"
"chr1",11273205,11296049,"+","gene","ENSG00000120942.13","UBIAD1","protein_coding","HAVANA"
"chr1",11479165,11537584,"+","gene","ENSG00000204624.7","DISP3","protein_coding","HAVANA"
"chr1",11609530,11613355,"+","gene","ENSG00000235643.1","LINC01647","lincRNA","HAVANA"
"chr1",11648366,11655785,"-","gene","ENSG00000116661.9","FBXO2","protein_coding","HAVANA"
"chr1",11654856,11663327,"+","gene","ENSG00000132879.13","FBXO44","protein_coding","HAVANA"
"chr1",11664123,11674354,"+","gene","ENSG00000116663.10","FBXO6","protein_coding","HAVANA"
"chr1",11674479,11691650,"-","gene","ENSG00000116670.14","MAD2L2","protein_coding","HAVANA"
"chr1",11691728,11725857,"+","gene","ENSG00000162490.6","DRAXIN","protein_coding","HAVANA"
"chr1",11736083,11754802,"+","gene","ENSG00000177674.15","AGTRAP","protein_coding","HAVANA"
"chr1",11761786,11785289,"+","gene","ENSG00000215910.7","C1orf167","protein_coding","HAVANA"
"chr1",11785722,11806920,"-","gene","ENSG00000177000.10","MTHFR","protein_coding","HAVANA"
"chr1",11807130,11843144,"+","gene","ENSG00000011021.21","CLCN6","protein_coding","HAVANA"
"chr1",11845766,11848345,"-","gene","ENSG00000175206.10","NPPA","protein_coding","HAVANA"
"chr1",11857463,11858931,"-","gene","ENSG00000120937.8","NPPB","protein_coding","HAVANA"
"chr1",11919590,11926428,"-","gene","ENSG00000116685.15","KIAA2013","protein_coding","HAVANA"
"chr1",11934204,11975538,"+","gene","ENSG00000083444.16","PLOD1","protein_coding","HAVANA"
"chr1",11980180,12013514,"+","gene","ENSG00000116688.16","MFN2","protein_coding","HAVANA"
"chr1",12019465,12032045,"+","gene","ENSG00000116691.10","MIIP","protein_coding","HAVANA"
"chr1",12063376,12144207,"+","gene","ENSG00000120949.14","TNFRSF8","protein_coding","HAVANA"
"chr1",12167038,12209228,"+","gene","ENSG00000028137.18","TNFRSF1B","protein_coding","HAVANA"
"chr1",12230066,12512047,"+","gene","ENSG00000048707.13","VPS13D","protein_coding","HAVANA"
"chr1",12527723,12528420,"+","gene","ENSG00000229484.1","RP5-888M10.2","lincRNA","HAVANA"
"chr1",12567909,12617731,"-","gene","ENSG00000162496.8","DHRS3","protein_coding","HAVANA"
"chr1",12618899,12619244,"-","gene","ENSG00000272482.1","RP11-474O21.5","lincRNA","HAVANA"
"chr1",12644546,12667086,"+","gene","ENSG00000204518.2","AADACL4","protein_coding","HAVANA"
"chr1",12716114,12728759,"+","gene","ENSG00000188984.11","AADACL3","protein_coding","HAVANA"
"chr1",12746214,12763699,"+","gene","ENSG00000157330.9","C1orf158","protein_coding","HAVANA"
"chr1",12774840,12777906,"+","gene","ENSG00000116726.4","PRAMEF12","protein_coding","HAVANA"
"chr1",12791396,12796628,"+","gene","ENSG00000116721.9","PRAMEF1","protein_coding","HAVANA"
"chr1",12822685,12823159,"-","gene","ENSG00000228338.1","LINC01784","lincRNA","HAVANA"
"chr1",12824604,12831410,"-","gene","ENSG00000239810.3","PRAMEF11","protein_coding","HAVANA"
"chr1",12847407,12848725,"-","gene","ENSG00000179172.9","HNRNPCL1","protein_coding","HAVANA"
"chr1",12857085,12861909,"+","gene","ENSG00000120952.4","PRAMEF2","protein_coding","HAVANA"
"chr1",12879223,12886201,"-","gene","ENSG00000243073.3","PRAMEF4","protein_coding","HAVANA"
"chr1",12892895,12898270,"-","gene","ENSG00000187545.5","PRAMEF10","protein_coding","HAVANA"
"chr1",12916609,12920482,"+","gene","ENSG00000204510.5","PRAMEF7","protein_coding","HAVANA"
"chr1",12938471,12947580,"-","gene","ENSG00000232423.6","PRAMEF6","protein_coding","HAVANA"
"chr1",13049475,13056491,"-","gene","ENSG00000274764.5","PRAMEF27","protein_coding","HAVANA"
"chr1",13060868,13062229,"+","gene","ENSG00000277058.2","HNRNPCL3","protein_coding","HAVANA"
"chr1",13068676,13077884,"+","gene","ENSG00000229571.7","PRAMEF25","protein_coding","HAVANA"
"chr1",13115495,13116854,"-","gene","ENSG00000275774.2","HNRNPCL2","protein_coding","HAVANA"
"chr1",13146980,13147460,"-","gene","ENSG00000233336.1","RP13-221M14.2","lincRNA","HAVANA"
"chr1",13148904,13155961,"-","gene","ENSG00000280267.4","PRAMEF26","protein_coding","HAVANA"
"chr1",13164585,13165467,"-","gene","ENSG00000179412.10","HNRNPCL4","protein_coding","HAVANA"
"chr1",13172454,13179464,"+","gene","ENSG00000204505.4","PRAMEF9","protein_coding","HAVANA"
"chr1",13196329,13201409,"-","gene","ENSG00000279169.2","PRAMEF13","protein_coding","HAVANA"
"chr1",13222704,13226106,"-","gene","ENSG00000279804.2","PRAMEF18","protein_coding","HAVANA"
"chr1",13254211,13263314,"+","gene","ENSG00000270601.4","PRAMEF5","protein_coding","HAVANA"
"chr1",13281034,13285174,"-","gene","ENSG00000182330.10","PRAMEF8","protein_coding","HAVANA"
"chr1",13303538,13308907,"+","gene","ENSG00000237700.2","PRAMEF33","protein_coding","HAVANA"
"chr1",13315580,13322598,"+","gene","ENSG00000204501.7","PRAMEF15","protein_coding","HAVANA"
"chr1",13324038,13324518,"+","gene","ENSG00000228229.2","RP11-219C24.10","lincRNA","HAVANA"
"chr1",13342033,13347134,"-","gene","ENSG00000204481.7","PRAMEF14","protein_coding","HAVANA"
"chr1",13369066,13371693,"-","gene","ENSG00000204480.7","PRAMEF19","protein_coding","HAVANA"
"chr1",13389631,13392629,"+","gene","ENSG00000204479.4","PRAMEF17","protein_coding","HAVANA"
"chr1",13410449,13421328,"+","gene","ENSG00000204478.9","PRAMEF20","protein_coding","HAVANA"
"chr1",13474976,13514048,"-","gene","ENSG00000162494.5","LRRC38","protein_coding","HAVANA"
"chr1",13583464,13617957,"+","gene","ENSG00000162493.16","PDPN","protein_coding","HAVANA"
"chr1",13657310,13659910,"-","gene","ENSG00000237445.2","CTA-520D8.2","lincRNA","HAVANA"
"chr1",13700197,13825079,"+","gene","ENSG00000116731.22","PRDM2","protein_coding","HAVANA"
"chr1",13892791,15118043,"+","gene","ENSG00000189337.16","KAZN","protein_coding","HAVANA"
"chr1",14221890,14223118,"-","gene","ENSG00000231606.1","RP11-344F13.1","lincRNA","HAVANA"
"chr1",14348954,14391575,"-","gene","ENSG00000234593.2","RP4-704D23.1","lincRNA","HAVANA"
"chr1",15152531,15220480,"+","gene","ENSG00000171729.13","TMEM51","protein_coding","HAVANA"
"chr1",15164343,15171317,"-","gene","ENSG00000204464.7","C1orf195","lincRNA","HAVANA"
"chr1",15247271,15400283,"+","gene","ENSG00000142621.19","FHAD1","protein_coding","HAVANA"
"chr1",15402978,15409433,"-","gene","ENSG00000228140.1","RP3-467K16.4","lincRNA","HAVANA"
"chr1",15409894,15430343,"+","gene","ENSG00000142634.12","EFHD2","protein_coding","HAVANA"
"chr1",15438438,15449242,"+","gene","ENSG00000162438.11","CTRC","protein_coding","HAVANA"
"chr1",15456727,15472091,"+","gene","ENSG00000142615.7","CELA2A","protein_coding","HAVANA"
"chr1",15465908,15487437,"+","gene","ENSG00000215704.9","CELA2B","protein_coding","HAVANA"
"chr1",15490831,15526534,"-","gene","ENSG00000132906.17","CASP9","protein_coding","HAVANA"
"chr1",15526812,15592379,"+","gene","ENSG00000116138.12","DNAJC16","protein_coding","HAVANA"
"chr1",15572352,15585110,"-","gene","ENSG00000116771.5","AGMAT","protein_coding","HAVANA"
"chr1",15617499,15669044,"+","gene","ENSG00000197312.11","DDI2","protein_coding","HAVANA"
"chr1",15682872,15683128,"-","gene","ENSG00000271742.1","RP4-680D5.9","lincRNA","HAVANA"
"chr1",15684331,15734769,"+","gene","ENSG00000116786.11","PLEKHM2","protein_coding","HAVANA"
"chr1",15736404,15741396,"+","gene","ENSG00000162461.7","SLC25A34","protein_coding","HAVANA"
"chr1",15742421,15747982,"+","gene","ENSG00000162460.6","TMEM82","protein_coding","HAVANA"
"chr1",15756606,15786594,"+","gene","ENSG00000162458.12","FBLIM1","protein_coding","HAVANA"
"chr1",15807168,15809348,"-","gene","ENSG00000233954.6","UQCRHL","protein_coding","HAVANA"
"chr1",15847863,15940460,"+","gene","ENSG00000065526.10","SPEN","protein_coding","HAVANA"
"chr1",15941868,15976132,"-","gene","ENSG00000116809.11","ZBTB17","protein_coding","HAVANA"
"chr1",16004235,16008807,"+","gene","ENSG00000183888.4","C1orf64","protein_coding","HAVANA"
"chr1",16014027,16019594,"-","gene","ENSG00000173641.17","HSPB7","protein_coding","HAVANA"
"chr1",16018874,16034050,"+","gene","ENSG00000186510.11","CLCNKA","protein_coding","HAVANA"
