"","X","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","M_AVG","F_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","t_Pvals","t_Padj","FDR","Higher_Met_In"
"25",969,"cg20734448",0.05043777771726,0.214620347982152,24.1483447709763,6.85701922137638e-116,5.99032454317564e-113,252.51325116062,0.241974707268327,0.191536929551068,-0.0504377777172582,6,27568835,"R","II","","IGR","opensea","IGR-opensea","","rs542660138;rs559404373","38;16",4.37005691481377e-114,3.72918718719647e-111,3.27613609432886e-113,"Male"
"26",977,"cg22970003",0.0746522851231935,0.246544327323868,24.0966042602965,1.88767128566471e-115,1.63557539381243e-112,251.501994232805,0.28703115131205,0.212378866188858,-0.0746522851231922,7,157406032,"R","II","PTPRN2","Body","island","Body-island","chr7:157405009-157406608","rs547843425","17",2.13753690651435e-113,1.80586242985354e-110,8.88223702713468e-113,"Male"
"27",1007,"cg05132077",0.0830355179410769,0.598928588855777,23.7733930902457,1.02317426145378e-112,8.60119707377003e-110,245.21553909642,0.643961964513335,0.560926446572262,-0.0830355179410733,22,49448320,"R","I","","IGR","shore","IGR-shore","chr22:49447339-49448283","rs569903850","42",3.85257853600579e-113,3.24507098510968e-110,4.56541531523048e-110,"Male"
"28",1016,"cg12273319",0.0946205586323779,0.304718996797262,23.6491994785794,1.13334711059552e-111,9.44295665455365e-109,242.81415337558,0.356035388474902,0.261414829842525,-0.0946205586323778,19,50861262,"F","II","","IGR","island","IGR-island","chr19:50860846-50861263","rs531393547","18",7.83097813255901e-109,6.27755975540554e-106,4.95729218701552e-109,"Male"
"29",1025,"cg18417954",0.0672379501769435,0.323627675029366,23.5606911441324,6.26008466239726e-111,5.17005429138197e-108,241.107624211904,0.360093418169684,0.292855467992741,-0.0672379501769427,19,55672513,"F","I","C19orf51","Body","island","Body-island","chr19:55672023-55673212","rs200775946","0",4.22460997407571e-105,3.23055962880262e-102,2.69266877065851e-108,"Male"
"30",1045,"cg22198192",0.0643491807748903,0.489130734668668,23.357179988781,3.13701897883594e-109,2.54120451389583e-106,237.199162137195,0.52402978633892,0.459680605564032,-0.0643491807748875,20,59863030,"F","II","CDH4","Body","shore","Body-shore","chr20:59864748-59865069","rs112442028;rs144710160;rs547257865;rs568688699","0;19;42;46",7.80433496233838e-110,6.35856500993606e-107,1.30943557256905e-106,"Male"
"31",1056,"cg15192736",0.0775528606182874,0.648501223382217,23.2908005801541,1.11933771940388e-108,8.9729651916944e-106,235.929019913497,0.690561141741732,0.613008281123445,-0.0775528606182864,22,49448123,"R","I","","IGR","island","IGR-island","chr22:49447339-49448283","rs190244798;rs4823980","34;24",6.7208948618248e-107,5.26795563066344e-104,4.54996131920407e-106,"Male"
"32",1149,"cg05756792",0.0629532739384995,0.701032180743556,22.4006074585299,2.28698684747648e-101,1.68493208623702e-98,219.122953586758,0.735174178101328,0.672220904162834,-0.0629532739384939,19,3480603,"R","I","SMIM24","TSS200","shore","TSS200-shore","chr19:3481782-3482048","rs549796546;rs563419821","42;33",9.51029248676485e-102,6.99451027521602e-99,8.18245953231459e-99,"Male"
"33",1156,"cg13135812",0.0510979268368803,0.46461736547513,22.2921413543499,1.72679492539887e-100,1.26450832234726e-97,217.104693564547,0.492329749183034,0.441231822346155,-0.0510979268368784,16,80477413,"R","II","LOC102724084","Body","opensea","Body-opensea","","rs1120213;rs572996296;rs112132754;rs561676750;rs79255918","49;38;35;27;2",1.66688282349345e-102,1.24103311204235e-99,6.10781918966027e-98,"Male"
"34",1157,"cg18795569",0.0676241138234488,0.688962278965885,22.2892998054484,1.82055473760927e-100,1.33201508914884e-97,217.051907673381,0.72563745359997,0.658013339776527,-0.0676241138234426,19,3480508,"F","I","C19orf77","5'UTR","shore","5'UTR-shore","chr19:3481782-3482048","rs564084227;rs533145681","37;39",5.89889352539891e-103,4.4190699502666e-100,6.42482042151119e-98,"Male"
"35",1188,"cg15148078",0.0593010084487059,0.569929675638177,22.0829596028785,8.36507002308719e-99,5.96062640669515e-96,213.230863954708,0.602090908042817,0.542789899594113,-0.0593010084487038,19,3480561,"R","II","C19orf77","TSS200","shore","TSS200-shore","chr19:3481782-3482048","rs564084227;rs533145681","18;16",1.31577129859241e-99,9.47940993190077e-97,2.82987220706957e-96,"Male"
"36",1207,"cg23299919",0.0993430991520287,0.503253323802522,21.9634028790998,7.60136297820158e-98,5.33117530438785e-95,211.027808782711,0.557130932011988,0.457787832859961,-0.0993430991520269,7,157406096,"R","I","PTPRN2","Body","island","Body-island","chr7:157405009-157406608","rs530066671;rs6971857;rs570108477","42;41;11",3.79193240519969e-102,2.80101046723112e-99,2.50068737400251e-95,"Male"
"37",1256,"cg27462519",0.0757344057243392,0.705652678733761,21.6138729579463,4.60031021497209e-95,3.10053216887644e-92,204.633547191324,0.746726378612483,0.670991972888148,-0.0757344057243349,16,3242639,"R","I","","IGR","island","IGR-island","chr16:3242622-3242912","rs184829848;rs427135","44;26",4.53290691150574e-97,3.13241629179476e-94,1.41171337857794e-92,"Male"
"38",1277,"cg06666376",0.0539450326458762,0.604003896294862,21.473894236638,5.86659361104362e-94,3.88896352654775e-91,202.092418675187,0.633260375693531,0.579315343047658,-0.0539450326458731,19,3480596,"R","II","C19orf77","TSS200","shore","TSS200-shore","chr19:3481782-3482048","rs533145681;rs549796546;rs563419821","51;35;26",4.49652505639821e-94,2.9807454035375e-91,1.75520794361393e-91,"Male"
"39",1285,"cg13348458",0.061542260076718,0.233510914055561,21.4199056499434,1.56133834491061e-93,1.02856717490177e-90,201.115354553797,0.2668876639762,0.205345403899482,-0.0615422600767172,6,27569671,"F","II","","IGR","opensea","IGR-opensea","","","",6.53473888989417e-91,4.14989255010494e-88,4.60915390724393e-91,"Male"
"40",1301,"cg22105158",0.0622427820013624,0.559186524964577,21.3220819058407,9.16019406012388e-93,5.96027283348059e-90,199.349293258767,0.592943195041927,0.530700413040568,-0.0622427820013591,19,3480672,"F","II","C19orf77","TSS200","shore","TSS200-shore","chr19:3481782-3482048","rs549226662","22",1.55398150696058e-94,1.03662812231426e-91,2.65864787526713e-90,"Male"
"41",1323,"cg17873222",0.0547456999847022,0.416722785976174,21.1634213656903,1.59605813877762e-91,1.02123954936693e-88,196.496797879856,0.446413498266263,0.391667798281564,-0.0547456999846986,4,183110709,"F","II","","IGR","opensea","IGR-opensea","","rs143095527;rs148216488","3;18",2.47312039278732e-91,1.58362578991188e-88,4.53906072661376e-89,"Male"
"42",1349,"cg08151623",0.069759041943589,0.38747929760078,21.0217682967639,2.02182126302674e-90,1.2687310608163e-87,193.962578089592,0.425312326396798,0.355553284453211,-0.0697590419435868,16,3242737,"R","I","","IGR","island","IGR-island","chr16:3242622-3242912","rs426866;rs2283470;rs562508119","48;47;42",4.17238985742778e-89,2.57623922631607e-86,5.55653738195162e-88,"Male"
"43",1380,"cg02951714",0.050608003186476,0.628013736094132,20.8334798578533,5.80108161789921e-89,3.55851377857166e-86,190.612446001931,0.655460415241634,0.604852412055161,-0.0506080031864732,8,63924723,"R","II","","IGR","opensea","IGR-opensea","","rs140095927;rs72658335;rs62510063","43;33;20",7.22431240759764e-92,4.66479528010433e-89,1.54773256265318e-86,"Male"
"44",1382,"cg19334350",0.0535656995922982,0.299488514161013,20.8202205703038,7.34210644521656e-89,4.49729520573376e-86,190.377325821647,0.328539266560868,0.274973566968571,-0.0535656995922965,7,157406737,"R","II","PTPRN2","Body","shore","Body-shore","chr7:157405009-157406608","rs552471460;rs570656860","40;30",1.87612586394205e-85,1.08408443325721e-82,1.9521705558225e-86,"Male"
"45",1614,"cg06868100",0.0547763906861005,0.229262275354297,19.6555196647656,4.70125061215454e-80,2.46574769018147e-77,170.142285640027,0.258969632399782,0.204193241713683,-0.054776390686099,7,29606349,"R","II","PRR15","3'UTR","shore","3'UTR-shore","chr7:29603540-29604793","rs112093295;rs367964733","35;32",1.6905121634834e-75,8.08964063407833e-73,9.90503110656896e-78,"Male"
"46",1634,"cg23880736",0.0567873089916682,0.541142997415365,19.5776877155234,1.76894382576901e-79,9.16433068678985e-77,168.820121980649,0.571940953299957,0.515153644308292,-0.0567873089916647,4,582172,"R","II","","IGR","island","IGR-island","chr4:582171-582635","rs542114178","1",3.13711407030826e-79,1.62225975207059e-76,3.63811999175842e-77,"Male"
"47",1678,"cg11174255",0.0760443902797212,0.701380060185955,19.4137467609004,2.84757454442646e-78,1.43655384152057e-75,166.047779443221,0.742621876688463,0.666577486408746,-0.0760443902797174,4,1513259,"R","II","","IGR","shore","IGR-shore","chr4:1514184-1514520","rs555992180;rs13138478;rs534766632","30;24;20",1.27501007633757e-82,7.04520466613255e-80,5.60412775804122e-76,"Male"
"48",1751,"cg22857963",0.0922528579512238,0.370513657322212,19.1559679914416,2.17236293917572e-76,1.05023140625919e-73,161.723377771109,0.420545953267532,0.32829309531631,-0.0922528579512214,8,144358043,"F","I","GLI4","Body","island","Body-island","chr8:144357997-144359075","rs552654562;rs570890720","21;42",5.89873207502299e-76,2.84687136393654e-73,3.98252860058237e-74,"Male"
"49",1796,"cg03425163",0.0545465674675087,0.279118177064022,18.9893153294028,3.49992887155089e-75,1.64964938091975e-72,158.950516509665,0.308700892081682,0.254154324614175,-0.0545465674675064,13,24671500,"R","II","SPATA13","Body","opensea","Body-opensea","","rs1022826;rs182749261;rs75359487","51;41;33",8.85879059851492e-73,4.0253193740347e-70,6.18977170064554e-73,"Male"
"50",1810,"cg06636541",0.0633921599897777,0.461610912916879,18.910683479808,1.29094160520234e-74,6.03763403569447e-72,157.648471020421,0.495990935169398,0.432598775179623,-0.0633921599897752,17,79374515,"R","I","BAHCC1","Body","island","Body-island","chr17:79366806-79374742","rs551340909;rs569463743","49;23",1.95510272447736e-74,9.14891887027499e-72,2.25483498956815e-72,"Male"
"51",1838,"cg09204484",0.0545101892387556,0.520937717522019,18.7890928934326,9.6382061467126e-74,4.43904416862546e-71,155.64304715291,0.550500703218036,0.495990513979283,-0.0545101892387536,20,60475464,"R","II","CDH4","Body","opensea","Body-opensea","","rs144443801;rs557911817","24;1",7.83347957962163e-72,3.48461410098794e-69,1.64642615406957e-71,"Male"
"52",1887,"cg25987564",0.0574877123721729,0.554303959945246,18.5625553269424,3.97598405744887e-72,1.78365763236025e-69,151.932670871589,0.585481771695476,0.527994059323305,-0.0574877123721712,4,6010075,"F","I","","IGR","island","IGR-island","chr4:6009868-6010112","","",5.21803086343292e-75,2.47322684244447e-72,6.51935430277239e-70,"Male"
"53",2011,"cg14285533",0.0870801143502353,0.22793752888126,18.1726559852297,2.21446572562836e-69,9.32171143439135e-67,145.626638774511,0.275164445736528,0.188084331386294,-0.0870801143502342,7,63386328,"R","I","","IGR","shore","IGR-shore","chr7:63386608-63386885","rs546152106","35",3.24986502750837e-66,1.27660579706797e-63,3.30632508600116e-67,"Male"
"54",2016,"cg22695986",0.0692244982708374,0.26133348871706,18.1560988037712,2.88997797444245e-69,1.21350834566416e-66,145.361111617801,0.298876613787332,0.229652115516496,-0.0692244982708367,7,63386815,"F","II","","IGR","island","IGR-island","chr7:63386608-63386885","rs532122386","21",5.28083230928251e-68,2.15646213649337e-65,4.29425837239689e-67,"Male"
"55",2051,"cg06070970",0.0568231273643497,0.3718211280105,18.0674560931193,1.19828477875973e-68,4.94576121779632e-66,143.942704539578,0.402638509585116,0.345815382220768,-0.0568231273643478,8,144359074,"F","II","GLI4","3'UTR","island","3'UTR-island","chr8:144357997-144359075","","",1.91925821847051e-66,7.59203843399209e-64,1.73085826861631e-66,"Male"
"56",2053,"cg01355392",0.0584062211844039,0.460331066191855,18.0580458748912,1.39314304210001e-68,5.74441123929678e-66,143.792440515475,0.492007020826138,0.433600799641735,-0.0584062211844028,20,62679255,"R","II","SOX18","3'UTR","shore","3'UTR-shore","chr20:62679424-62680883","rs557679210","33",3.43753564405836e-67,1.37847133397215e-64,2.00858370743924e-66,"Male"
"57",2057,"cg23363754",0.0725708422939898,0.265204944665152,18.0456534978672,1.69874719175581e-68,6.99090213420858e-66,143.594648533328,0.304562921635078,0.231992079341089,-0.0725708422939886,7,29606082,"F","II","PRR15","Body","island","Body-island","chr7:29605827-29606290","rs201772284","1",2.43866439203323e-65,9.40066255526935e-63,2.44013012434282e-66,"Male"
"58",2061,"cg10580293",0.0546928271813626,0.178665557326563,18.0204769943967,2.54084940267111e-68,1.04361351717484e-65,143.193133103791,0.208327594648713,0.153634767467351,-0.0546928271813619,7,29605897,"F","I","PRR15","5'UTR","island","5'UTR-island","chr7:29605827-29606290","rs369045354;rs2302617;rs570480991","25;38;47",8.27670232920352e-64,3.08109889438186e-61,3.63629505574161e-66,"Male"
"59",2087,"cg16906964",0.050091009163047,0.537789568667143,17.9612986153672,6.53488461834304e-68,2.65066129936445e-65,142.251052345772,0.564955861943067,0.514864852780025,-0.0500910091630423,1,4660171,"F","II","","IGR","opensea","IGR-opensea","","rs554427082;rs574355778;rs540156092","2;8;9",1.78759545006088e-68,7.37087512504574e-66,9.16643011533036e-66,"Male"
"61",2194,"cg14825413",0.0820450467753437,0.319049790774247,17.6133014019355,1.60996288979778e-65,6.21180772725744e-63,136.759638432823,0.36354599557781,0.281500948802467,-0.0820450467753422,8,144358566,"F","I","GLI4","Body","island","Body-island","chr8:144357997-144359075","rs551314642;rs146144006","43;49",4.38144692769906e-65,1.67903829677528e-62,2.10785680946053e-63,"Male"
"62",2289,"cg06168204",0.0682033284701773,0.405231976635908,17.3383376333354,1.17739727309897e-63,4.35427641684385e-61,132.479851970009,0.442221281794128,0.374017953323952,-0.0682033284701753,6,27570548,"F","II","","IGR","opensea","IGR-opensea","","rs533789695;rs547286872","42;47",1.19510444473673e-62,4.34758659162817e-60,1.45213577261526e-61,"Male"
"63",2339,"cg12479444",0.0590396787411578,0.242958993515319,17.1715064237317,1.55179379523413e-62,5.61619982438214e-60,129.908871265455,0.274978496703567,0.215938817962411,-0.0590396787411562,7,63361394,"F","I","","IGR","island","IGR-island","chr7:63361126-63361493","rs529048141","16",3.06536416953924e-62,1.10280547084185e-59,1.85925491463245e-60,"Male"
"64",2362,"cg24680439",0.0869904189247334,0.574854077217575,17.1258408501742,3.13261186351259e-62,1.12270448456235e-59,129.208544508945,0.622032348771511,0.535041929846781,-0.08699041892473,10,134778467,"F","II","","IGR","shore","IGR-shore","chr10:134778683-134779073","rs144989742;rs528502198;rs575778392","16;22;31",1.20673500281065e-61,4.27508254016792e-59,3.69343739515952e-60,"Male"
"65",2397,"cg02276826",0.063217156298831,0.566453153170185,17.0590257606701,8.73222886309447e-62,3.08386840795716e-59,128.186520200547,0.600738264146768,0.537521107847939,-0.0632171562988291,10,134778648,"R","I","","IGR","shore","IGR-shore","chr10:134778683-134779073","rs551290001","32",1.18738030836534e-60,4.05955064934716e-58,1.01263856116772e-59,"Male"
"66",2455,"cg06717221",0.0512087962807265,0.564417107700424,16.957835366863,4.10018798830101e-61,1.41380995373545e-58,126.644695076427,0.592189620199445,0.540980823918722,-0.0512087962807228,19,1790921,"F","II","ATP8B3","Body","shore","Body-shore","chr19:1789459-1789880","rs535465823","32",6.39190510872684e-61,2.20672703440243e-58,4.59025948411971e-59,"Male"
"67",2587,"cg24510518",0.0523452912995954,0.357996531411169,16.6892173543764,2.40193792477209e-59,7.85966640081887e-57,122.587145636345,0.38638540915228,0.334040117852686,-0.0523452912995945,8,144358898,"F","I","GLI4","Body","island","Body-island","chr8:144357997-144359075","rs558106141;rs61732223","4;25",1.19357966430474e-58,3.865312311271e-56,2.50314172538765e-57,"Male"
"68",2589,"cg10507304",0.0582924676775655,0.26973941391105,16.687977000404,2.44721866730798e-59,8.00164885247413e-57,122.568529442184,0.301353675615213,0.243061207937648,-0.0582924676775645,6,27637520,"F","II","","IGR","opensea","IGR-opensea","","rs144338750","34",9.8167423950326e-58,3.10425783431834e-55,2.54691166368799e-57,"Male"
"69",2669,"cg16410401",0.0558289629462854,0.522624046481547,16.5160809185139,3.22198297223844e-58,1.02191183649614e-55,119.999284407422,0.552902254208463,0.497073291262181,-0.0558289629462819,10,3524562,"R","II","LOC105376360","Body","opensea","Body-opensea","","rs549979922","15",2.89573239323971e-58,9.28524269970629e-56,3.22313185153714e-56,"Male"
"70",2688,"cg22138735",0.0568823522353965,0.556977525037976,16.4832424634459,5.25935228185507e-58,1.65631051774286e-55,119.510889097312,0.587827026552736,0.530944674317342,-0.0568823522353934,20,62679713,"R","I","SOX18","Body","island","Body-island","chr20:62679424-62680883","rs534836305","43",1.77135952162447e-57,5.55574870812936e-55,5.22162214592002e-56,"Male"
"71",2700,"cg22083892",0.0598204063608149,0.417974175122002,16.4606368087259,7.36600541665638e-58,2.30944185308304e-55,119.175136146813,0.450417097120104,0.390596690759292,-0.0598204063608122,12,21928661,"R","II","KCNJ8","TSS1500","opensea","TSS1500-opensea","","rs534932144;rs183136321;rs577312470","36;25;2",1.64710376043085e-56,5.0518522340261e-54,7.26208627992107e-56,"Male"
"72",2807,"cg18297529",0.0678402276785874,0.0871968043301522,16.226628066602,2.35657116338223e-56,7.106846066761e-54,115.721298303609,0.123989185873579,0.0561489581949925,-0.0678402276785869,19,55973111,"F","I","ISOC2","TSS200","island","TSS200-island","chr19:55972697-55973442","rs554015636;rs573061830;rs573419335;rs545255160","2;10;15;23",1.50641722062814e-49,3.75395002901912e-47,2.20038278477249e-54,"Male"
"73",2866,"cg24718722",0.0521056585170139,0.493820330198289,16.1075412009789,1.353863144924e-55,3.99887051999475e-53,113.97898361665,0.522079245805297,0.469973587288285,-0.0521056585170119,10,129536818,"R","II","FOXI2","Body","island","Body-island","chr10:129534410-129537366","","",1.39822147735689e-54,4.03830310363899e-52,1.22651786124567e-53,"Male"
"74",2950,"cg17434634",0.0564714845826165,0.360027656771321,15.9530544283046,1.28788599056886e-54,3.69567834709941e-52,111.734265245259,0.390654328853425,0.33418284427081,-0.056471484582615,19,49522954,"R","I","","IGR","island","IGR-island","chr19:49522773-49523093","rs565737660;rs372595235","44;43",3.17718825251842e-54,9.08022596585635e-52,1.12601554529027e-52,"Male"
"77",3169,"cg00303541",0.0524028639726244,0.414082413259195,15.5328566062041,5.39767373707909e-52,1.44186019720208e-49,105.71816851255,0.442502514889508,0.390099650916886,-0.0524028639726216,3,51741280,"R","II","GRM2","5'UTR","island","5'UTR-island","chr3:51740740-51741413","","",2.30678022630877e-50,5.892403492805e-48,4.29155136992405e-50,"Male"
"78",3704,"cg21213853",0.0511485877350351,0.582287490766083,14.7526985843821,2.81001341945097e-47,6.42208690570707e-45,94.9011211089404,0.610027349840123,0.558878762105091,-0.0511485877350312,3,51741473,"F","II","GRM2","5'UTR","shore","5'UTR-shore","chr3:51740740-51741413","rs148456775;rs569221179;rs539946071","39;44;47",8.08480338960488e-47,1.83287949110297e-44,1.82948957545287e-45,"Male"
"79",3819,"cg14228592",0.0691558108100067,0.340653569145054,14.5993036614875,2.25120267046147e-46,4.99003623515857e-44,92.8290864115901,0.378159442346447,0.309003631536443,-0.0691558108100034,8,145639181,"R","I","SLC39A4","Body","island","Body-island","chr8:145637965-145639182","","",6.16536985166164e-47,1.40261418514866e-44,1.41123233049623e-44,"Male"
"80",4317,"cg12906381",0.0764817629069623,0.569363499998213,13.9864268519811,7.65851115161417e-43,1.50176183358765e-40,84.7334681800129,0.610842520607028,0.534360757700068,-0.0764817629069596,22,32599516,"F","I","RFPL2","TSS200","opensea","TSS200-opensea","","rs542369262;rs117148492","17;24",2.07001792991954e-43,4.14651629931207e-41,4.11914892483666e-41,"Male"
